5933.35347894 - 6655.91104987;417
6655.91104987 - 7378.4686208;311
7378.4686208 - 8101.02619172;158
8101.02619172 - 8823.58376265;66
8823.58376265 - 9546.14133358;24
9546.14133358 - 10268.6989045;17
10268.6989045 - 10991.2564754;3
10991.2564754 - 11713.8140464;3
11713.8140464 - 12436.3716173;0
12436.3716173 - 13158.9291882;0
13158.9291882 - 13881.4867591;1
end
5926.23302319 - 6543.59260108;360
6543.59260108 - 7160.95217897;293
7160.95217897 - 7778.31175686;159
7778.31175686 - 8395.67133475;100
8395.67133475 - 9013.03091264;36
9013.03091264 - 9630.39049053;28
9630.39049053 - 10247.7500684;11
10247.7500684 - 10865.1096463;5
10865.1096463 - 11482.4692242;4
11482.4692242 - 12099.8288021;4
end
